#,id,name,x,y
pieces,0,white_rook,1,1
pieces,1,white_pawn,1,2
pieces,2,black_pawn,1,7
pieces,3,black_rook,1,8
pieces,4,white_knight,2,1
pieces,5,white_pawn,2,2
pieces,6,black_pawn,2,7
pieces,7,black_knight,2,8
pieces,8,white_bishop,3,1
pieces,9,white_pawn,3,2
pieces,10,black_pawn,3,7
pieces,11,black_bishop,3,8
pieces,12,white_queen,4,1
pieces,13,white_pawn,4,2
pieces,14,black_pawn,4,7
pieces,15,black_queen,4,8
pieces,16,white_king,5,1
pieces,17,white_pawn,5,2
pieces,18,black_pawn,5,7
pieces,19,black_king,5,8
pieces,20,white_bishop,6,1
pieces,21,white_pawn,6,2
pieces,22,black_pawn,6,7
pieces,23,black_bishop,6,8
pieces,24,white_knight,7,1
pieces,25,white_pawn,7,2
pieces,26,black_pawn,7,7
pieces,27,black_knight,7,8
pieces,28,white_rook,8,1
pieces,29,white_pawn,8,2
pieces,30,black_pawn,8,7
pieces,31,black_rook,8,8
turn,32,0
